pred_token,pred_start,pred_end,gt_token,gt_start,gt_end,iou,start_off_s,end_off_s,text_match,fallback
ฝั่งซ้าย,87.0,87.716,ฝั่งซ้าย,87.441,87.776,0.3544,-0.441,-0.06,True,
ก่อน,87.766,88.45,ก่อน,87.933,88.485,0.7191,-0.167,-0.035,True,
ดู,89.616,90.066,สังเกต,89.791,90.304,0.3997,-0.175,-0.238,False,
สังเกต,90.083,90.333,สังเกต,89.791,90.304,0.4077,0.292,0.029,True,
ไหน,90.35,90.65,ไหน,90.428,90.675,0.6831,-0.078,-0.025,True,
ตัวเลข,90.716,91.133,ตัวเลข,90.856,91.216,0.554,-0.14,-0.083,True,
ฝั่งซ้าย,91.183,91.366,ตัวเลข,90.856,91.216,0.0647,0.327,0.15,False,
เห็น,91.383,91.85,ฝั่งซ้าย,91.399,91.941,0.8082,-0.016,-0.091,False,
ไหน,91.9,92.316,เห็น,92.0,92.34,0.7182,-0.1,-0.024,False,
สังเกต,92.333,92.816,ไหน,92.425,92.572,0.3043,-0.092,0.244,False,
รถยนต์,92.833,93.133,สังเกต,92.634,93.126,0.5872,0.199,0.007,False,
ที่,93.2,93.5,รถยนต์,93.302,93.668,0.4231,-0.102,-0.168,False,
หนึ่ง,93.6,94.033,ที่,93.776,93.954,0.4111,-0.176,0.079,False,
(ชี้นิ้วชี้),94.05,94.533,หนึ่ง,94.103,94.263,0.3313,-0.053,0.27,False,
เก้า,96.35,97.05,เก้า,94.863,97.013,0.3032,1.487,0.037,True,
(วางสันมือที่นิ้วชี้),97.1,97.75,(วางสันมือที่นิ้วชี้),97.103,97.567,0.7138,-0.003,0.183,True,
แสน,97.816,98.333,แสน,97.876,98.265,0.7524,-0.06,0.068,True,
เก้า,98.383,98.766,เก้า,98.624,98.765,0.3681,-0.241,0.001,True,
แสน,98.816,99.15,แสน,98.884,99.088,0.6108,-0.068,0.062,True,
(ผายมือ),99.183,99.5,(ผายมือ),99.253,99.379,0.3975,-0.07,0.121,True,
ลำดับต่อมา,99.516,100.233,ลำดับต่อมา,99.51,100.013,0.6874,0.006,0.22,True,
ฝั่งซ้าย,100.283,100.95,ฝั่งซ้าย,100.314,100.802,0.7316,-0.031,0.148,True,
(ชี้ฝั่งซ้าย),100.983,101.616,(ชี้นิ้วกลาง),101.585,102.472,0.0208,-0.602,-0.856,False,
(ชี้นิ้วกลาง),101.65,102.45,(ชี้นิ้วกลาง),101.585,102.472,0.9019,0.065,-0.022,True,
ตัวเลข,102.883,103.516,ตัวเลข,102.727,103.546,0.7729,0.156,-0.03,True,
หนึ่ง,103.633,103.916,หนึ่ง,103.644,104.902,0.2143,-0.011,-0.986,True,
เท่ากัน,103.966,104.483,หนึ่ง,103.644,104.902,0.411,0.322,-0.419,False,
หนึ่ง,104.5,105.116,หนึ่ง,103.644,104.902,0.2731,0.856,0.214,True,
ล้าน,105.183,105.8,เท่ากัน,105.289,105.575,0.4635,-0.106,0.225,False,
ตรง,105.866,106.516,หนึ่ง,105.698,106.152,0.3496,0.168,0.364,False,
หนึ่ง,106.533,107.25,ตรง,106.997,107.237,0.3347,-0.464,0.013,False,
ล้าน,107.283,107.95,ล้าน,107.619,108.0,0.4616,-0.336,-0.05,True,
อย่างไร,110.316,110.516,อย่างไร,110.34,110.76,0.3964,-0.024,-0.244,True,
เก้า,110.65,110.816,อย่างไร,110.34,110.76,0.2311,0.31,0.056,False,
แสน,110.916,111.516,เก้า,110.925,111.459,0.89,-0.009,0.057,False,
(ชี้แสน),111.6,111.666,แสน,111.619,112.08,0.0979,-0.019,-0.414,False,
น้อย,111.7,112.75,(ชี้แสน),112.284,112.737,0.4314,-0.584,0.013,False,
กว่า,112.783,113.25,น้อย,112.892,113.188,0.6338,-0.109,0.062,False,
หนึ่ง,113.266,113.8,กว่า,113.394,113.572,0.3333,-0.128,0.228,False,
ล้าน,113.816,114.4,ล้าน,113.871,114.33,0.786,-0.055,0.07,True,
(ชี้ที่ของ),114.616,114.85,(ชี้ที่ของ),114.549,114.771,0.515,0.067,0.079,True,
เก้า,114.9,115.283,เก้า,114.814,115.271,0.791,0.086,0.012,True,
แสน,115.333,115.65,แสน,115.296,115.688,0.8087,0.037,-0.038,True,
หนึ่ง,115.683,116.1,หนึ่ง,115.706,116.126,0.8894,-0.023,-0.026,True,
ห้า,116.2,116.666,หมื่น,116.425,116.649,0.4807,-0.225,0.017,False,
หมื่น,116.683,117.183,,,,0.0,,,False,
แปดพัน,117.25,117.6,แปดพัน,117.229,117.469,0.5903,0.021,0.131,True,
เจ็ดร้อย,117.616,118.15,เจ็ดร้อย,118.09,118.281,0.0902,-0.474,-0.131,True,
ห้าสิบ,118.166,118.633,ห้าสิบ,118.392,118.905,0.3261,-0.226,-0.272,True,
ที่,118.75,119.166,ห้าสิบ,118.392,118.905,0.2003,0.358,0.261,False,
น้อย,119.2,119.616,น้อย,119.412,119.871,0.304,-0.212,-0.255,True,
กว่า,119.633,120.05,น้อย,119.412,119.871,0.373,0.221,0.179,False,
หนึ่ง,120.066,120.55,หนึ่ง,120.291,120.567,0.517,-0.225,-0.017,True,
ล้าน,120.566,120.833,ล้าน,120.668,120.82,0.5693,-0.102,0.013,True,
สามร้อย,120.85,121.35,สามร้อย,120.992,121.423,0.6248,-0.142,-0.073,True,
แปดสิบ,121.366,121.866,แปดสิบ,121.66,121.946,0.3552,-0.294,-0.08,True,
ห้า,121.883,122.416,ห้า,122.064,122.399,0.6285,-0.181,0.017,True,
เปรียบเทียบ,124.166,125.25,เปรียบเทียบ,124.235,125.168,0.8607,-0.069,0.082,True,
เห็น,125.3,126.116,เห็น,125.531,125.974,0.5429,-0.231,0.142,True,
เขียน,126.15,126.933,เขียน,126.222,126.954,0.8843,-0.072,-0.021,True,
(วาดสัญลักษณ์น้อยกว่า),127.016,127.933,(วาดสัญลักษณ์น้อยกว่า),127.106,128.003,0.8379,-0.09,-0.07,True,
สอง,128.216,128.666,สอง,128.119,128.541,0.5941,0.097,0.125,True,
(วาดสัญลักษณ์น้อยกว่า),128.8,129.3,(วาดสัญลักษณ์น้อยกว่า),128.691,129.892,0.4163,0.109,-0.592,True,
มี,129.316,129.866,(วาดสัญลักษณ์น้อยกว่า),128.691,129.892,0.458,0.625,-0.026,False,
น้อย,129.883,130.466,มี,130.139,130.508,0.5232,-0.256,-0.042,False,
กว่า,130.516,131.183,น้อย,130.701,131.116,0.6222,-0.185,0.067,False,
น้อย,131.2,131.8,กว่า,131.129,131.66,0.6855,0.071,0.14,False,
กว่า,131.816,132.4,น้อย,131.851,132.155,0.5205,-0.035,0.245,False,
ตัวเลข,132.866,133.416,ตัวเลข,132.849,133.456,0.9061,0.017,-0.04,True,
เก้า,133.483,133.65,,,,0.0,,,False,
แสน,133.7,134.35,เก้า,133.884,134.198,0.4831,-0.184,0.152,False,
ห้าหมื่น,134.4,134.983,แสน,134.423,134.644,0.3791,-0.023,0.339,False,
แปดพัน,135.016,135.65,แปดพัน,135.309,136.149,0.301,-0.293,-0.499,True,
เจ็ดร้อย,135.666,136.15,แปดพัน,135.309,136.149,0.5743,0.357,0.001,False,
ห้าสิบ,136.233,136.916,เจ็ดร้อย,136.162,136.722,0.6485,0.071,0.194,False,
(วาดสัญลักษณ์น้อยกว่า),136.95,137.616,ห้าสิบ,136.758,137.214,0.3077,0.192,0.402,False,
น้อย,137.75,138.433,(วาดสัญลักษณ์น้อยกว่า),137.441,138.479,0.658,0.309,-0.046,False,
กว่า,138.483,139.116,น้อย,138.526,138.899,0.5893,-0.043,0.217,False,
หนึ่ง,139.133,139.766,หนึ่ง,139.17,139.753,0.921,-0.037,0.013,True,
ล้าน,139.816,140.866,ล้าน,139.768,140.387,0.52,0.048,0.479,True,
สามร้อย,140.9,141.35,แปดสิบ,141.036,141.534,0.4953,-0.136,-0.184,False,
แปดสิบ,141.366,141.783,ห้า,141.549,141.735,0.446,-0.183,0.048,False,
ห้า,141.8,142.283,(ผายมือ),141.745,142.42,0.7156,0.055,-0.137,False,
(ผายมือ),142.3,142.683,(ผายมือ),141.745,142.42,0.1279,0.555,0.263,True,
(ผายมือ),142.7,143.116,(ผายมือ),142.577,143.206,0.6614,0.123,-0.09,True,
รถยนต์,143.85,144.266,รถยนต์,143.92,144.425,0.6017,-0.07,-0.159,True,
สอง,144.283,144.533,รถยนต์,143.92,144.425,0.2316,0.363,0.108,False,
ไม่,144.566,144.933,สอง,144.456,144.706,0.2935,0.11,0.227,False,
รถยนต์,144.966,145.066,ไม่,144.807,145.077,0.3704,0.159,-0.011,False,
สอง,145.083,145.566,รถยนต์,145.214,145.526,0.646,-0.131,0.04,False,
มี,145.583,145.95,สอง,145.541,145.753,0.4156,0.042,0.197,False,
เพิ่มเติม,146.0,146.35,เพิ่มเติม,145.943,146.358,0.8434,0.057,-0.008,True,
ใหม่,146.4,146.616,ใหม่,146.371,146.742,0.5822,0.029,-0.126,True,
(ผายมือ),146.633,147.033,(ผายมือ),146.773,147.054,0.6176,-0.14,-0.021,True,
ที่,147.183,147.6,ที่,147.211,147.389,0.4269,-0.028,0.211,True,
หนึ่ง,147.616,148.033,หนึ่ง,147.539,147.992,0.7611,0.077,0.041,True,
มี,148.083,148.583,มี,148.242,148.392,0.3,-0.159,0.191,True,
น้อย,148.6,149.133,น้อย,148.629,149.394,0.6348,-0.029,-0.261,True,
มี,149.666,150.05,มี,149.588,149.765,0.2143,0.078,0.285,True,
ราคา,150.116,150.466,ราคา,149.941,150.284,0.32,0.175,0.182,True,
เท่าไร,150.483,150.833,เท่าไร,150.407,150.66,0.4155,0.076,0.173,True,
เก้า,150.883,151.366,เก้า,150.887,151.289,0.8323,-0.004,0.077,True,
แสน,151.416,151.65,แสน,151.497,151.698,0.5426,-0.081,-0.048,True,
ห้าหมื่น,151.716,152.166,ห้าหมื่น,151.82,152.418,0.4929,-0.104,-0.252,True,
แปดพัน,152.183,152.8,แปดพัน,152.582,152.979,0.2739,-0.399,-0.179,True,
เจ็ดร้อย,152.816,153.35,เจ็ดร้อย,153.131,153.371,0.3946,-0.315,-0.021,True,
ห้าสิบ,153.416,153.933,ห้าสิบ,153.423,153.93,0.9807,-0.007,0.003,True,
(ชี้นิ้วกลาง),154.616,155.033,(ชี้นิ้วกลาง),154.577,155.064,0.8563,0.039,-0.031,True,
ที่สาม,155.1,155.716,ที่สาม,155.229,155.838,0.6599,-0.129,-0.122,True,
สวยงาม,155.933,156.95,สวยงาม,156.229,157.023,0.6615,-0.296,-0.073,True,
ราคา,158.166,158.466,ราคา,158.131,158.497,0.8197,0.035,-0.031,True,
เท่าไร,158.483,159.016,เท่าไร,158.559,158.956,0.7448,-0.076,0.06,True,
เก้า,159.1,159.716,เก้า,159.322,159.649,0.5308,-0.222,0.067,True,
แสน,159.733,160.116,แสน,159.956,160.139,0.3941,-0.223,-0.023,True,
ห้า,160.183,160.55,ห้า,160.299,160.59,0.6167,-0.116,-0.04,True,
หมื่น,160.633,161.15,หมื่น,160.753,161.077,0.6267,-0.12,0.073,True,
ห้าพัน,161.233,161.816,ห้าพัน,161.224,161.959,0.7932,0.009,-0.143,True,
เจ็ดร้อย,161.833,162.366,เจ็ดร้อย,162.131,162.361,0.4315,-0.298,0.005,True,
เก้าสิบ,162.383,162.95,เก้าสิบ,162.655,163.072,0.4282,-0.272,-0.122,True,
เก้า,163.05,163.433,เก้า,163.108,163.461,0.7908,-0.058,-0.028,True,
ลอง,164.583,165.05,ลอง,164.598,164.938,0.7281,-0.015,0.112,True,
เปรียบเทียบ,165.1,165.616,เปรียบเทียบ,165.09,165.521,0.8004,0.01,0.095,True,
(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.633,166.066,(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.796,166.68,0.2579,-0.163,-0.614,True,
มี,166.083,166.5,(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.796,166.68,0.4717,0.287,-0.18,False,
ประมาณ,166.516,167.05,มี,166.835,166.995,0.2996,-0.319,0.055,False,
มี,167.116,167.766,ประมาณ,167.173,167.472,0.46,-0.057,0.294,False,
ดู,167.783,168.333,ดู,167.987,168.345,0.6157,-0.204,-0.012,True,
วิธี,168.466,168.666,วิธี,168.526,168.899,0.3233,-0.06,-0.233,True,
อย่างไร,168.683,169.3,อย่างไร,168.951,169.332,0.5378,-0.268,-0.032,True,
มี,169.4,170.05,มี,169.518,169.992,0.7292,-0.118,0.058,True,
ตัวเลข,170.083,170.783,ตัวเลข,170.474,171.093,0.3059,-0.391,-0.31,True,
ฝั่งซ้าย,170.8,171.566,ฝั่งซ้าย,171.296,171.642,0.3207,-0.496,-0.076,True,
ก่อน,171.6,172.233,ก่อน,171.838,172.33,0.5411,-0.238,-0.097,True,
ใช่,172.3,172.883,ใช่,172.544,173.039,0.4587,-0.244,-0.156,True,
ตัวเลข,173.333,173.65,ตัวเลข,173.294,173.608,0.7725,0.039,0.042,True,
(ผายมือ),173.683,174.45,(ผายมือ),173.992,174.278,0.3729,-0.309,0.172,True,
(ผายมือที่นิ้วชี้),174.533,175.316,(ผายมือที่นิ้วชี้),174.572,174.866,0.3755,-0.039,0.45,True,
สังเกต,175.333,176.016,ไหน,175.57,175.91,0.4978,-0.237,0.106,False,
ไหน,177.133,177.15,,,,0.0,,,False,
ตัวเลข,177.266,177.85,ตัวเลข,177.353,177.675,0.5514,-0.087,0.175,True,
เก้า,178.033,178.066,เก้า,177.982,179.423,0.0229,0.051,-1.357,True,
เก้า,179.316,179.766,เก้า,179.436,179.686,0.5556,-0.12,0.08,True,
แสน,179.783,180.75,แสน,179.724,180.765,0.9289,0.059,-0.015,True,
เก้า,180.816,181.233,เก้า,181.01,181.281,0.4796,-0.194,-0.048,True,
(ชี้นิ้วกลาง),181.533,182.066,(ชี้นิ้วกลาง),181.51,182.098,0.9065,0.023,-0.032,True,
เก้า,182.083,182.65,เก้า,182.271,182.67,0.6457,-0.188,-0.02,True,
เหมือนกัน,182.683,183.183,เหมือนกัน,182.879,183.095,0.432,-0.196,0.088,True,
เกี่ยวข้อง,183.216,183.65,เกี่ยวข้อง,183.446,183.686,0.434,-0.23,-0.036,True,
หนึ่ง,183.75,184.15,หนึ่ง,183.93,184.106,0.44,-0.18,0.044,True,
เก้า,184.183,184.55,เก้า,184.265,184.407,0.3869,-0.082,0.143,True,
แสน,184.583,184.833,แสน,184.598,184.881,0.7886,-0.015,-0.048,True,
เหมือนกัน,184.9,185.55,เหมือนกัน,185.116,185.5,0.5908,-0.216,0.05,True,
(เก้าที่นิ้วชี้),185.6,186.016,(เก้าที่นิ้วชี้),185.825,185.91,0.2043,-0.225,0.106,True,
(เก้าที่นิ้วกลาง),186.033,186.533,(เก้าที่นิ้วกลาง),186.25,186.523,0.546,-0.217,0.01,True,
(เก้าที่นิ้วชี้),186.566,186.95,(เก้าที่นิ้วชี้),186.817,186.951,0.3455,-0.251,-0.001,True,
(เก้าที่นิ้วกลาง),187.016,187.166,(เก้าที่นิ้วกลาง),187.108,187.206,0.3053,-0.092,-0.04,True,
(เก้าที่นิ้วชี้),187.2,187.55,(เก้าที่นิ้วชี้),187.348,187.608,0.4951,-0.148,-0.058,True,
ตัวเลข,187.816,187.95,ตัวเลข,187.688,187.951,0.5095,0.128,-0.001,True,
ฝั่งซ้าย,188.016,188.633,ฝั่งซ้าย,188.227,188.621,0.6386,-0.211,0.012,True,
(เก้าที่นิ้วชี้),188.683,189.4,(เก้าที่นิ้วชี้),188.812,189.059,0.3445,-0.129,0.341,True,
(แสนที่นิ้วกลาง),189.616,190.35,เท่ากัน,189.753,191.376,0.3392,-0.137,-1.026,False,
เท่ากัน,190.4,191.266,เท่ากัน,189.753,191.376,0.5336,0.647,-0.11,True,
แล้ว,191.6,192.483,แล้ว,191.539,192.113,0.5434,0.061,0.37,True,
(ผายมือที่นิ้วชี้),192.5,193.35,เปรียบเทียบ,192.876,193.351,0.557,-0.376,-0.001,False,
เปรียบเทียบ,193.416,194.166,ถัดมา,193.634,194.727,0.4058,-0.218,-0.561,False,
ถัดมา,194.183,194.683,ถัดมา,193.634,194.727,0.4575,0.549,-0.044,True,
ถัดมา,195.2,195.566,ถัดมา,195.175,195.601,0.8592,0.025,-0.035,True,
ที่,195.683,195.733,,,,0.0,,,False,
ที่,195.783,196.25,ที่,195.838,195.964,0.2698,-0.055,0.286,True,
เก้า,196.6,197.05,ที่,196.698,196.778,0.1778,-0.098,0.272,False,
เก้า,197.083,197.566,เก้า,197.077,197.366,0.5787,0.006,0.2,True,
เก้า,197.583,198.016,เก้า,197.57,197.781,0.4439,0.013,0.235,True,
เท่ากัน,198.116,198.45,เท่ากัน,198.075,198.513,0.7626,0.041,-0.063,True,
ถัดมา,198.8,199.716,ถัดมา,198.74,199.472,0.6885,0.06,0.244,True,
ถัดมา,199.816,200.766,ถัดมา,199.899,200.871,0.8218,-0.083,-0.105,True,
ที่,201.366,201.966,ที่,201.472,201.624,0.2533,-0.106,0.342,True,
หนึ่ง,201.983,202.033,,,,0.0,,,False,
ห้า,202.166,203.016,ห้า,202.149,203.023,0.9725,0.017,-0.007,True,
(ห้าที่นิ้วชี้),203.033,203.683,(ห้าที่นิ้วชี้),203.387,204.013,0.302,-0.354,-0.33,True,
หมื่น,204.133,204.25,,,,0.0,,,False,
ห้า,204.316,204.683,หมื่น,204.32,205.031,0.5077,-0.004,-0.348,False,
หมื่น,205.083,205.633,หมื่น,205.399,205.662,0.4041,-0.316,-0.029,True,
ลำดับถัดมา,205.8,206.516,ลำดับต่อมา,205.807,206.776,0.7264,-0.007,-0.26,False,
ที่,206.533,207.25,ที่,206.964,207.095,0.1827,-0.431,0.155,True,
สอง,207.3,207.833,(ชี้นิ้วกลาง),207.405,207.851,0.7768,-0.105,-0.018,False,
(ชี้นิ้วกลาง),207.9,208.366,ห้า,208.209,208.845,0.1661,-0.309,-0.479,False,
ห้า,208.383,208.833,ห้า,208.209,208.845,0.7075,0.174,-0.012,True,
หมื่น,208.916,209.55,หมื่น,209.317,209.588,0.3467,-0.401,-0.038,True,
เหมือนกัน,209.583,210.316,เหมือนกัน,209.781,210.747,0.4596,-0.198,-0.431,True,
เท่ากัน,210.4,211.15,เหมือนกัน,209.781,210.747,0.2535,0.619,0.403,False,
ห้าหมื่น,211.283,211.85,ห้าหมื่น,211.477,211.923,0.5828,-0.194,-0.073,True,
ห้าหมื่น,211.866,212.333,ห้าหมื่น,212.095,212.405,0.4416,-0.229,-0.072,True,
เท่ากัน,212.4,213.05,เท่ากัน,212.531,213.276,0.5925,-0.131,-0.226,True,
(วางจำนวนตัวเลขสองมือ),213.383,213.766,(วางจำนวนตัวเลขสองมือ),213.428,214.036,0.5176,-0.045,-0.27,True,
เท่ากัน,214.116,214.816,เท่ากัน,214.173,214.781,0.8686,-0.057,0.035,True,
ยัง,216.816,217.15,ยัง,216.598,217.121,0.5525,0.218,0.029,True,
เปรียบเทียบ,217.183,217.733,เปรียบเทียบ,217.237,217.675,0.7964,-0.054,0.058,True,
ยัง,217.75,218.166,ยัง,217.686,218.126,0.7833,0.064,0.04,True,
ถัดมา,218.633,219.05,ถัดมา,218.59,220.178,0.2626,0.043,-1.128,True,
ถัดมา,219.133,219.783,ถัดมา,218.59,220.178,0.4093,0.543,-0.395,True,
ถัดมา,220.166,220.916,ถัดมา,220.374,221.183,0.5329,-0.208,-0.267,True,
