Processing video: 5224144816887051284
Video 5224144816887051284: 44352 frames at 25.00 FPS
Total annotations after filtering by pl_filter: 1276
DEBUG: Final pseudo glosses:
{'start': 4.88, 'end': 5.04, 'text': 'british', 'probs': 0.867431640625}
{'start': 84.8, 'end': 84.96, 'text': 'work', 'probs': 0.693359375}
{'start': 85.2, 'end': 85.28, 'text': 'no', 'probs': 0.62744140625}
{'start': 85.52, 'end': 85.6, 'text': 'office', 'probs': 0.6826171875}
{'start': 86.64, 'end': 86.72, 'text': 'journey', 'probs': 0.70263671875}
{'start': 87.12, 'end': 87.6, 'text': 'orange', 'probs': 0.8453776041666666}
{'start': 87.84, 'end': 87.92, 'text': 'elephant', 'probs': 0.6005859375}
{'start': 88.56, 'end': 89.36, 'text': 'three', 'probs': 0.86953125}
{'start': 89.76, 'end': 90.08, 'text': 'brave', 'probs': 0.7677001953125}
{'start': 90.16, 'end': 90.24, 'text': 'regular', 'probs': 0.6005859375}
{'start': 92.16, 'end': 92.4, 'text': 'long', 'probs': 0.8076171875}
{'start': 92.56, 'end': 92.72, 'text': 'worm', 'probs': 0.679931640625}
{'start': 93.12, 'end': 93.28, 'text': 'time', 'probs': 0.750244140625}
{'start': 93.92, 'end': 94.24, 'text': 'brave', 'probs': 0.9384765625}
{'start': 94.56, 'end': 94.64, 'text': 'because', 'probs': 0.70703125}
{'start': 94.88, 'end': 94.96, 'text': 'and', 'probs': 0.69580078125}
{'start': 95.44, 'end': 95.68, 'text': 'and', 'probs': 0.8499348958333334}
{'start': 99.68, 'end': 99.84, 'text': 'busy', 'probs': 0.793701171875}
{'start': 99.92, 'end': 100.08, 'text': 'busy', 'probs': 0.6787109375}
{'start': 102.48, 'end': 102.56, 'text': 'one', 'probs': 0.84033203125}
{'start': 103.04, 'end': 103.28, 'text': 'learn', 'probs': 0.7218424479166666}
{'start': 104.32, 'end': 104.56, 'text': 'really', 'probs': 0.7255859375}
{'start': 104.8, 'end': 105.28, 'text': 'snake', 'probs': 0.8937174479166666}
{'start': 105.52, 'end': 105.6, 'text': 'later', 'probs': 0.88671875}
{'start': 105.68, 'end': 105.76, 'text': 'age', 'probs': 0.68896484375}
{'start': 106.48, 'end': 106.8, 'text': 'one', 'probs': 0.80078125}
{'start': 106.88, 'end': 107.04, 'text': 'one', 'probs': 0.65625}
{'start': 107.68, 'end': 107.84, 'text': 'sand', 'probs': 0.70703125}
{'start': 108.0, 'end': 108.08, 'text': 'bird', 'probs': 0.6044921875}
{'start': 108.24, 'end': 108.72, 'text': 'lizard', 'probs': 0.9193522135416666}
{'start': 108.8, 'end': 109.44, 'text': 'love', 'probs': 0.89947509765625}
{'start': 109.44, 'end': 109.68, 'text': 'build', 'probs': 0.7130533854166666}
{'start': 109.84, 'end': 110.08, 'text': 'time', 'probs': 0.6761067708333334}
{'start': 110.24, 'end': 110.48, 'text': 'start', 'probs': 0.8388671875}
{'start': 110.88, 'end': 111.12, 'text': 'keep', 'probs': 0.8175455729166666}
{'start': 112.48, 'end': 112.64, 'text': 'dandelion', 'probs': 0.666748046875}
{'start': 113.76, 'end': 113.92, 'text': 'really', 'probs': 0.706787109375}
{'start': 113.92, 'end': 114.4, 'text': 'beautiful', 'probs': 0.8614095052083334}
{'start': 114.56, 'end': 114.8, 'text': 'gorgeous', 'probs': 0.7506510416666666}
{'start': 114.88, 'end': 115.44, 'text': 'animal', 'probs': 0.7472098214285714}
{'start': 116.08, 'end': 116.16, 'text': 'can', 'probs': 0.662109375}
{'start': 117.04, 'end': 117.2, 'text': 'see', 'probs': 0.62548828125}
{'start': 117.84, 'end': 117.92, 'text': 'you', 'probs': 0.60595703125}
{'start': 117.92, 'end': 118.0, 'text': 'to', 'probs': 0.666015625}
{'start': 118.08, 'end': 118.56, 'text': 'strange', 'probs': 0.9226888020833334}
{'start': 119.84, 'end': 120.4, 'text': 'and', 'probs': 0.92529296875}
{'start': 120.72, 'end': 120.8, 'text': 'much', 'probs': 0.65380859375}
{'start': 120.88, 'end': 120.96, 'text': 'amazon', 'probs': 0.71044921875}
{'start': 121.04, 'end': 121.12, 'text': 'cheese', 'probs': 0.623046875}
{'start': 121.36, 'end': 121.52, 'text': 'national', 'probs': 0.8291015625}
{'start': 121.6, 'end': 121.68, 'text': 'escape', 'probs': 0.81494140625}
{'start': 122.0, 'end': 122.56, 'text': 'see', 'probs': 0.6819893973214286}
{'start': 122.64, 'end': 123.76, 'text': 'beautiful', 'probs': 0.8845912388392857}
{'start': 125.28, 'end': 125.6, 'text': 'need', 'probs': 0.74365234375}
{'start': 127.36, 'end': 127.52, 'text': 'building', 'probs': 0.662353515625}
{'start': 128.08, 'end': 128.24, 'text': 'snake', 'probs': 0.83349609375}
{'start': 128.24, 'end': 128.4, 'text': 'lizard', 'probs': 0.67919921875}
{'start': 128.96, 'end': 129.04, 'text': 'park', 'probs': 0.63037109375}
{'start': 133.04, 'end': 133.28, 'text': 'aim', 'probs': 0.70361328125}
{'start': 133.68, 'end': 133.84, 'text': 'continue', 'probs': 0.658203125}
{'start': 133.92, 'end': 134.0, 'text': 'continue', 'probs': 0.65576171875}
{'start': 134.72, 'end': 134.8, 'text': 'health', 'probs': 0.7958984375}
{'start': 134.88, 'end': 135.2, 'text': 'healthy', 'probs': 0.9443359375}
{'start': 135.52, 'end': 136.0, 'text': 'continue', 'probs': 0.6728515625}
{'start': 136.32, 'end': 136.4, 'text': 'stay', 'probs': 0.6142578125}
{'start': 136.48, 'end': 136.56, 'text': 'mdf', 'probs': 0.708984375}
{'start': 138.32, 'end': 138.4, 'text': 'bristol', 'probs': 0.64013671875}
{'start': 138.72, 'end': 138.88, 'text': 'really', 'probs': 0.78515625}
{'start': 138.96, 'end': 139.04, 'text': 'ct', 'probs': 0.7412109375}
{'start': 139.52, 'end': 139.6, 'text': 'in', 'probs': 0.74169921875}
{'start': 140.8, 'end': 140.88, 'text': 'increase', 'probs': 0.61572265625}
{'start': 141.92, 'end': 142.0, 'text': 'sandy', 'probs': 0.63720703125}
{'start': 142.24, 'end': 142.32, 'text': 'black', 'probs': 0.6455078125}
{'start': 142.48, 'end': 142.88, 'text': 'lizard', 'probs': 0.9541015625}
{'start': 143.36, 'end': 143.92, 'text': 'akela', 'probs': 0.7933175223214286}
{'start': 144.24, 'end': 144.4, 'text': 'campbell', 'probs': 0.72509765625}
{'start': 144.72, 'end': 144.8, 'text': 'bill', 'probs': 0.82080078125}
{'start': 145.12, 'end': 145.36, 'text': 'time', 'probs': 0.8269856770833334}
{'start': 148.16, 'end': 148.24, 'text': 'same', 'probs': 0.65185546875}
{'start': 148.72, 'end': 148.8, 'text': 'eat', 'probs': 0.6025390625}
{'start': 149.44, 'end': 149.6, 'text': 'own', 'probs': 0.698974609375}
{'start': 152.0, 'end': 152.16, 'text': 'what', 'probs': 0.8447265625}
{'start': 153.2, 'end': 153.52, 'text': 'move', 'probs': 0.875}
{'start': 153.84, 'end': 154.08, 'text': 'pregnant', 'probs': 0.9171549479166666}
{'start': 154.24, 'end': 154.32, 'text': 'pregnancy', 'probs': 0.7001953125}
{'start': 155.2, 'end': 155.28, 'text': 'grain', 'probs': 0.63818359375}
{'start': 155.92, 'end': 156.0, 'text': 'flower', 'probs': 0.82763671875}
{'start': 156.08, 'end': 156.56, 'text': 'female', 'probs': 0.905029296875}
{'start': 156.64, 'end': 156.88, 'text': 'safe', 'probs': 0.6521809895833334}
{'start': 157.92, 'end': 158.32, 'text': 'one', 'probs': 0.85478515625}
{'start': 158.48, 'end': 158.56, 'text': 'catch', 'probs': 0.66455078125}
{'start': 158.96, 'end': 159.12, 'text': 'you', 'probs': 0.66015625}
{'start': 159.28, 'end': 159.52, 'text': 'no', 'probs': 0.8836263020833334}
{'start': 159.52, 'end': 159.6, 'text': 'what', 'probs': 0.68505859375}
{'start': 159.6, 'end': 159.92, 'text': 'one', 'probs': 0.9720458984375}
{'start': 160.08, 'end': 160.72, 'text': 'problem', 'probs': 0.8414306640625}
{'start': 162.08, 'end': 162.16, 'text': 'dirty', 'probs': 0.72900390625}
{'start': 162.88, 'end': 163.44, 'text': 'burn', 'probs': 0.826171875}
{'start': 165.04, 'end': 165.52, 'text': 'no', 'probs': 0.7752278645833334}
{'start': 169.68, 'end': 169.84, 'text': 'what', 'probs': 0.80029296875}
{'start': 170.0, 'end': 170.48, 'text': 'like', 'probs': 0.8092447916666666}
{'start': 171.52, 'end': 172.08, 'text': 'have', 'probs': 0.8740931919642857}
{'start': 177.36, 'end': 177.52, 'text': 'find', 'probs': 0.747802734375}
{'start': 177.84, 'end': 177.92, 'text': 'other', 'probs': 0.61279296875}
{'start': 178.24, 'end': 178.48, 'text': 'other', 'probs': 0.80908203125}
{'start': 179.28, 'end': 179.36, 'text': 'no', 'probs': 0.6943359375}
{'start': 181.28, 'end': 181.36, 'text': 'male', 'probs': 0.62841796875}
{'start': 182.0, 'end': 182.24, 'text': 'tree', 'probs': 0.7428385416666666}
{'start': 182.56, 'end': 182.72, 'text': 'and', 'probs': 0.8056640625}
{'start': 182.8, 'end': 183.28, 'text': 'nand', 'probs': 0.7608235677083334}
{'start': 183.68, 'end': 183.76, 'text': 'other', 'probs': 0.71435546875}
{'start': 184.0, 'end': 184.08, 'text': 'feel', 'probs': 0.8076171875}
{'start': 184.96, 'end': 185.2, 'text': 'male', 'probs': 0.6559244791666666}
{'start': 185.36, 'end': 185.6, 'text': 'male', 'probs': 0.73388671875}
{'start': 186.72, 'end': 186.8, 'text': 'one', 'probs': 0.68603515625}
{'start': 186.88, 'end': 187.44, 'text': 'female', 'probs': 0.9309430803571429}
{'start': 187.84, 'end': 187.92, 'text': 'and', 'probs': 0.67822265625}
{'start': 188.8, 'end': 189.2, 'text': 'female', 'probs': 0.93154296875}
{'start': 190.24, 'end': 190.32, 'text': 'make', 'probs': 0.64111328125}
{'start': 190.48, 'end': 190.72, 'text': 'make', 'probs': 0.65966796875}
{'start': 190.8, 'end': 190.96, 'text': 'no', 'probs': 0.84326171875}
{'start': 191.12, 'end': 191.52, 'text': 'craven', 'probs': 0.847265625}
{'start': 193.12, 'end': 194.08, 'text': 'no', 'probs': 0.7774251302083334}
{'start': 194.96, 'end': 195.44, 'text': 'no', 'probs': 0.6383463541666666}
{'start': 199.12, 'end': 199.2, 'text': 'big', 'probs': 0.69677734375}
{'start': 199.68, 'end': 199.76, 'text': 'increase', 'probs': 0.6435546875}
{'start': 199.76, 'end': 200.4, 'text': 'ready', 'probs': 0.719970703125}
{'start': 200.72, 'end': 201.2, 'text': 'egg', 'probs': 0.792724609375}
{'start': 201.76, 'end': 201.84, 'text': 'make', 'probs': 0.77294921875}
{'start': 202.0, 'end': 202.48, 'text': 'maybe', 'probs': 0.9004720052083334}
{'start': 203.12, 'end': 203.44, 'text': 'same', 'probs': 0.795166015625}
{'start': 204.56, 'end': 204.96, 'text': 'week', 'probs': 0.830078125}
{'start': 205.52, 'end': 206.08, 'text': 'week', 'probs': 0.8943917410714286}
{'start': 211.76, 'end': 212.0, 'text': 'big', 'probs': 0.7312825520833334}
{'start': 212.32, 'end': 212.88, 'text': 'female', 'probs': 0.9017159598214286}
{'start': 213.36, 'end': 213.84, 'text': 'female', 'probs': 0.8663736979166666}
{'start': 214.96, 'end': 215.44, 'text': 'different', 'probs': 0.7122395833333334}
{'start': 216.08, 'end': 216.32, 'text': 'long', 'probs': 0.7451171875}
{'start': 216.56, 'end': 216.8, 'text': 'see', 'probs': 0.7527669270833334}
{'start': 217.12, 'end': 217.6, 'text': 'really', 'probs': 0.7467447916666666}
{'start': 217.68, 'end': 218.08, 'text': 'big', 'probs': 0.8662109375}
{'start': 218.32, 'end': 218.48, 'text': 'massive', 'probs': 0.9013671875}
{'start': 219.76, 'end': 219.84, 'text': 'true', 'probs': 0.619140625}
{'start': 220.08, 'end': 220.16, 'text': 'if', 'probs': 0.6103515625}
{'start': 220.16, 'end': 220.32, 'text': 'egg', 'probs': 0.630615234375}
{'start': 220.96, 'end': 221.2, 'text': 'make', 'probs': 0.66064453125}
{'start': 222.32, 'end': 222.4, 'text': 'what', 'probs': 0.65625}
{'start': 222.56, 'end': 222.96, 'text': 'beautiful', 'probs': 0.91103515625}
{'start': 223.68, 'end': 223.76, 'text': 'look', 'probs': 0.6357421875}
{'start': 224.96, 'end': 225.68, 'text': 'beautiful', 'probs': 0.8306206597222222}
{'start': 226.0, 'end': 226.16, 'text': 'no', 'probs': 0.739501953125}
{'start': 227.68, 'end': 227.84, 'text': 'what', 'probs': 0.689453125}
{'start': 229.44, 'end': 229.52, 'text': 'leg', 'probs': 0.65966796875}
{'start': 231.04, 'end': 231.12, 'text': 'still', 'probs': 0.64697265625}
{'start': 231.52, 'end': 231.84, 'text': 'settle', 'probs': 0.7828369140625}
{'start': 231.92, 'end': 232.0, 'text': 'no', 'probs': 0.7763671875}
{'start': 233.68, 'end': 233.84, 'text': 'green', 'probs': 0.691162109375}
{'start': 234.16, 'end': 234.32, 'text': 'need', 'probs': 0.86865234375}
{'start': 234.64, 'end': 234.96, 'text': 'need', 'probs': 0.86669921875}
{'start': 235.04, 'end': 235.44, 'text': 'important', 'probs': 0.70810546875}
{'start': 237.28, 'end': 237.44, 'text': 'many', 'probs': 0.687744140625}
{'start': 237.6, 'end': 238.08, 'text': 'melt', 'probs': 0.828125}
{'start': 239.84, 'end': 240.56, 'text': 'many', 'probs': 0.8898654513888888}
{'start': 242.4, 'end': 242.48, 'text': 'snake', 'probs': 0.68017578125}
{'start': 242.64, 'end': 242.8, 'text': 'lizard', 'probs': 0.88427734375}
{'start': 243.52, 'end': 243.6, 'text': 'live', 'probs': 0.615234375}
{'start': 243.68, 'end': 243.76, 'text': 'live', 'probs': 0.609375}
{'start': 246.64, 'end': 246.88, 'text': 'garden', 'probs': 0.6101888020833334}
{'start': 247.52, 'end': 247.76, 'text': 'what', 'probs': 0.7604166666666666}
{'start': 248.0, 'end': 248.08, 'text': 'two', 'probs': 0.6142578125}
{'start': 248.72, 'end': 249.2, 'text': 'area', 'probs': 0.8352864583333334}
{'start': 249.28, 'end': 249.44, 'text': 'situation', 'probs': 0.76220703125}
{'start': 249.6, 'end': 250.0, 'text': 'dry', 'probs': 0.80732421875}
{'start': 250.64, 'end': 250.88, 'text': 'law', 'probs': 0.76904296875}
{'start': 251.36, 'end': 251.52, 'text': 'and', 'probs': 0.64892578125}
{'start': 252.8, 'end': 253.12, 'text': 'no', 'probs': 0.755126953125}
{'start': 253.36, 'end': 253.6, 'text': 'do', 'probs': 0.6653645833333334}
{'start': 254.8, 'end': 255.68, 'text': 'see', 'probs': 0.8226207386363636}
{'start': 255.92, 'end': 256.4, 'text': 'value', 'probs': 0.8935546875}
{'start': 256.4, 'end': 256.56, 'text': 'create', 'probs': 0.72119140625}
{'start': 257.12, 'end': 257.6, 'text': 'value', 'probs': 0.7810872395833334}
{'start': 257.84, 'end': 258.0, 'text': 'no', 'probs': 0.654296875}
{'start': 258.64, 'end': 258.8, 'text': 'june', 'probs': 0.772216796875}
{'start': 259.2, 'end': 259.76, 'text': 'area', 'probs': 0.9065290178571429}
{'start': 260.96, 'end': 261.44, 'text': 'lizard', 'probs': 0.8521321614583334}
{'start': 261.84, 'end': 261.92, 'text': 'see', 'probs': 0.615234375}
{'start': 262.0, 'end': 262.24, 'text': 'now', 'probs': 0.8082682291666666}
{'start': 262.8, 'end': 263.36, 'text': 'liverpool', 'probs': 0.9949079241071429}
{'start': 264.48, 'end': 264.72, 'text': 'business', 'probs': 0.8763020833333334}
{'start': 264.96, 'end': 265.2, 'text': 'big', 'probs': 0.74462890625}
{'start': 265.28, 'end': 265.6, 'text': 'big', 'probs': 0.783447265625}
{'start': 265.6, 'end': 265.76, 'text': 'no', 'probs': 0.75341796875}
{'start': 265.76, 'end': 266.08, 'text': 'law', 'probs': 0.880126953125}
{'start': 266.72, 'end': 266.8, 'text': 'nand', 'probs': 0.64013671875}
{'start': 266.96, 'end': 267.2, 'text': 'and', 'probs': 0.7711588541666666}
{'start': 267.28, 'end': 267.6, 'text': 'area', 'probs': 0.9205322265625}
{'start': 267.68, 'end': 267.92, 'text': 'before', 'probs': 0.8465169270833334}
{'start': 268.48, 'end': 268.56, 'text': 'brilliant', 'probs': 0.76904296875}
{'start': 269.2, 'end': 269.36, 'text': 'hold', 'probs': 0.695068359375}
{'start': 270.64, 'end': 270.8, 'text': 'no', 'probs': 0.75146484375}
{'start': 271.28, 'end': 271.36, 'text': 'no', 'probs': 0.61328125}
{'start': 272.4, 'end': 273.04, 'text': 'birth', 'probs': 0.72344970703125}
{'start': 273.92, 'end': 274.4, 'text': 'middle', 'probs': 0.947509765625}
{'start': 274.8, 'end': 275.04, 'text': 'nineteen', 'probs': 0.7529296875}
{'start': 275.04, 'end': 275.2, 'text': 'seventy', 'probs': 0.627685546875}
{'start': 275.76, 'end': 276.0, 'text': 'three', 'probs': 0.8429361979166666}
{'start': 276.72, 'end': 277.44, 'text': 'three', 'probs': 0.8673502604166666}
{'start': 277.84, 'end': 277.92, 'text': 'only', 'probs': 0.6259765625}
{'start': 278.4, 'end': 278.64, 'text': 'wale', 'probs': 0.73779296875}
{'start': 280.08, 'end': 280.48, 'text': 'wale', 'probs': 0.872265625}
{'start': 280.48, 'end': 281.04, 'text': 'melt', 'probs': 0.7880161830357143}
{'start': 281.76, 'end': 282.0, 'text': 'like', 'probs': 0.8279622395833334}
{'start': 282.08, 'end': 282.32, 'text': 'feel', 'probs': 0.7317708333333334}
{'start': 282.48, 'end': 282.96, 'text': 'pregnant', 'probs': 0.859130859375}
{'start': 283.04, 'end': 283.44, 'text': 'female', 'probs': 0.9021484375}
{'start': 283.44, 'end': 283.52, 'text': 'manage', 'probs': 0.65966796875}
{'start': 286.4, 'end': 286.64, 'text': 'expand', 'probs': 0.6904296875}
{'start': 286.96, 'end': 287.12, 'text': 'come', 'probs': 0.636962890625}
{'start': 289.28, 'end': 289.44, 'text': 'river', 'probs': 0.751708984375}
{'start': 289.76, 'end': 290.0, 'text': 'release', 'probs': 0.7062174479166666}
{'start': 290.72, 'end': 291.04, 'text': 'dairy', 'probs': 0.8001708984375}
{'start': 291.36, 'end': 291.6, 'text': 'make', 'probs': 0.61767578125}
{'start': 291.68, 'end': 292.48, 'text': 'early', 'probs': 0.957470703125}
{'start': 293.12, 'end': 293.44, 'text': 'september', 'probs': 0.8648681640625}
{'start': 295.12, 'end': 295.52, 'text': 'size', 'probs': 0.7044921875}
{'start': 295.76, 'end': 296.32, 'text': 'one', 'probs': 0.8265904017857143}
{'start': 296.56, 'end': 297.28, 'text': 'old', 'probs': 0.8594835069444444}
{'start': 297.28, 'end': 297.92, 'text': 'wild', 'probs': 0.912841796875}
{'start': 299.6, 'end': 299.76, 'text': 'time', 'probs': 0.872314453125}
{'start': 299.84, 'end': 299.92, 'text': 'time', 'probs': 0.603515625}
{'start': 300.8, 'end': 300.88, 'text': 'spot', 'probs': 0.88330078125}
{'start': 301.6, 'end': 301.84, 'text': 'what', 'probs': 0.7849934895833334}
{'start': 302.56, 'end': 302.72, 'text': 'list', 'probs': 0.798828125}
{'start': 303.12, 'end': 303.68, 'text': 'home', 'probs': 0.81396484375}
{'start': 304.64, 'end': 305.04, 'text': 'lizard', 'probs': 0.8669921875}
{'start': 305.04, 'end': 305.76, 'text': 'local', 'probs': 0.8740234375}
{'start': 307.12, 'end': 307.2, 'text': 'science', 'probs': 0.65283203125}
{'start': 308.56, 'end': 308.72, 'text': 'check', 'probs': 0.66455078125}
{'start': 308.88, 'end': 309.12, 'text': 'check', 'probs': 0.7158203125}
{'start': 311.04, 'end': 311.28, 'text': 'can', 'probs': 0.6923828125}
{'start': 311.76, 'end': 312.16, 'text': 'can', 'probs': 0.68828125}
{'start': 318.16, 'end': 318.32, 'text': 'what', 'probs': 0.79296875}
{'start': 318.56, 'end': 318.72, 'text': 'find', 'probs': 0.76904296875}
{'start': 318.96, 'end': 319.36, 'text': 'lizard', 'probs': 0.916015625}
{'start': 319.92, 'end': 320.0, 'text': 'need', 'probs': 0.662109375}
{'start': 320.56, 'end': 320.96, 'text': 'inch', 'probs': 0.80419921875}
{'start': 321.2, 'end': 321.68, 'text': 'easy', 'probs': 0.8258463541666666}
{'start': 321.92, 'end': 322.4, 'text': 'what', 'probs': 0.8622233072916666}
{'start': 322.48, 'end': 323.12, 'text': 'easy', 'probs': 0.8165283203125}
{'start': 323.12, 'end': 323.6, 'text': 'see', 'probs': 0.9125162760416666}
{'start': 324.8, 'end': 325.04, 'text': 'melt', 'probs': 0.6337890625}
{'start': 326.32, 'end': 326.48, 'text': 'no', 'probs': 0.6318359375}
{'start': 326.56, 'end': 326.72, 'text': 'no', 'probs': 0.686279296875}
{'start': 326.8, 'end': 326.88, 'text': 'no', 'probs': 0.6416015625}
{'start': 327.52, 'end': 327.6, 'text': 'trouble', 'probs': 0.69970703125}
{'start': 328.16, 'end': 328.24, 'text': 'noise', 'probs': 0.60009765625}
{'start': 329.04, 'end': 329.12, 'text': 'what', 'probs': 0.77294921875}
{'start': 329.28, 'end': 329.52, 'text': 'what', 'probs': 0.7854817708333334}
{'start': 331.04, 'end': 331.28, 'text': 'churchill', 'probs': 0.861328125}
{'start': 332.08, 'end': 332.4, 'text': 'walk', 'probs': 0.6588134765625}
{'start': 332.48, 'end': 332.8, 'text': 'sing', 'probs': 0.7252197265625}
{'start': 334.0, 'end': 334.08, 'text': 'visit', 'probs': 0.67578125}
{'start': 334.08, 'end': 334.16, 'text': 'animal', 'probs': 0.6279296875}
{'start': 342.24, 'end': 343.52, 'text': 'garden', 'probs': 0.640045166015625}
{'start': 343.6, 'end': 343.76, 'text': 'garden', 'probs': 0.602294921875}
{'start': 344.0, 'end': 344.16, 'text': 'garden', 'probs': 0.601806640625}
{'start': 344.24, 'end': 345.12, 'text': 'garden', 'probs': 0.6231800426136364}
{'start': 347.2, 'end': 348.08, 'text': 'best', 'probs': 0.8699840198863636}
{'start': 348.88, 'end': 349.76, 'text': 'two', 'probs': 0.9053178267045454}
{'start': 349.84, 'end': 350.32, 'text': 'year', 'probs': 0.8329264322916666}
{'start': 350.48, 'end': 350.56, 'text': 'person', 'probs': 0.64404296875}
{'start': 350.64, 'end': 351.28, 'text': 'check', 'probs': 0.89825439453125}
{'start': 352.32, 'end': 352.8, 'text': 'wale', 'probs': 0.8238932291666666}
{'start': 353.2, 'end': 353.28, 'text': 'twenty', 'probs': 0.73388671875}
{'start': 353.84, 'end': 354.16, 'text': 'look', 'probs': 0.8377685546875}
{'start': 354.56, 'end': 354.72, 'text': 'round', 'probs': 0.73193359375}
{'start': 355.04, 'end': 355.2, 'text': 'look', 'probs': 0.627685546875}
{'start': 357.52, 'end': 357.76, 'text': 'snake', 'probs': 0.7815755208333334}
{'start': 359.6, 'end': 359.76, 'text': 'move', 'probs': 0.8583984375}
{'start': 360.08, 'end': 360.16, 'text': 'magical', 'probs': 0.79931640625}
{'start': 361.44, 'end': 362.08, 'text': 'one', 'probs': 0.96148681640625}
{'start': 362.16, 'end': 362.24, 'text': 'one', 'probs': 0.7255859375}
{'start': 362.4, 'end': 362.48, 'text': 'soft', 'probs': 0.62890625}
{'start': 363.92, 'end': 364.0, 'text': 'recently', 'probs': 0.7353515625}
