pred_token,pred_start,pred_end,gt_token,gt_start,gt_end,iou,start_off_s,end_off_s,text_match,fallback
(ชี้นิ้วชี้),57.702,58.152,เก้า,58.035,58.45,0.1564,-0.333,-0.298,False,
เก้า,58.169,59.186,แสน,58.822,59.173,0.3451,-0.653,0.013,False,
แสน,59.202,59.552,ห้า,59.277,59.588,0.7124,-0.075,-0.036,False,
ห้า,59.602,59.902,หมื่น,59.796,59.976,0.2834,-0.194,-0.074,False,
หมื่น,59.919,60.469,แปด,60.218,60.471,0.4547,-0.299,-0.002,False,
แปด,60.552,60.936,พัน,60.72,60.872,0.3958,-0.168,0.064,False,
พัน,60.986,61.536,เจ็ดร้อย,61.183,61.585,0.5893,-0.197,-0.049,False,
เจ็ดร้อย,61.586,61.952,ห้าสิบ,61.668,62.509,0.3077,-0.082,-0.557,False,
ห้าสิบ,61.969,62.502,ห้าสิบ,61.668,62.509,0.6338,0.301,-0.007,True,
(ชี้นิ้วกลาง),62.848,63.248,(ชี้นิ้วกลาง),62.848,63.26,0.9709,0.0,-0.012,True,
รถยนต์,63.314,64.014,รถยนต์,63.415,63.689,0.3914,-0.101,0.325,True,
(ชี้นิ้วกลาง),64.031,64.764,(ชี้นิ้วกลาง),63.81,64.734,0.7369,0.221,0.03,True,
ที่,64.781,65.564,สอง,65.197,65.422,0.2874,-0.416,0.142,False,
สอง,65.664,66.198,ราคา,65.882,66.401,0.4288,-0.218,-0.203,False,
ราคา,66.214,66.864,เท่าไร,66.522,66.869,0.5221,-0.308,-0.005,False,
เท่าไร,66.998,67.648,หนึ่ง,67.114,67.623,0.7831,-0.116,0.025,False,
หนึ่ง,67.681,68.364,ล้าน,67.754,68.481,0.7625,-0.073,-0.117,False,
ล้าน,68.481,69.314,สามร้อย,68.668,69.682,0.5379,-0.187,-0.368,False,
สามร้อย,69.331,69.648,สามร้อย,68.668,69.682,0.3126,0.663,-0.034,True,
แปดสิบ,69.664,70.431,แปดสิบ,69.851,70.422,0.7445,-0.187,0.009,True,
ห้า,70.498,71.331,ห้า,70.595,71.36,0.8538,-0.097,-0.029,True,
(ชี้นิ้วชี้),71.716,72.132,(ชี้นิ้วกลาง),72.007,72.159,0.2822,-0.291,-0.027,False,
(ชี้นิ้วกลาง),72.166,72.932,วิธี,72.315,72.792,0.6227,-0.149,0.14,False,
วิธี,72.999,73.749,เปรียบเทียบ,72.9,73.72,0.8492,0.099,0.029,False,
เปรียบเทียบ,73.766,74.532,อย่างไร,73.924,74.54,0.7855,-0.158,-0.008,False,
อย่างไร,75.366,75.616,ใคร,75.609,75.91,0.0129,-0.243,-0.294,False,
ใคร,75.692,76.175,มี,75.92,76.111,0.3954,-0.228,0.064,False,
มี,76.192,76.525,ราคา,76.522,77.149,0.0031,-0.33,-0.624,False,
ราคา,76.609,77.075,ราคา,76.522,77.149,0.7432,0.087,-0.074,True,
มาก,77.092,77.642,มาก,77.439,77.612,0.3145,-0.347,0.03,True,
กว่า,77.675,78.225,กว่า,77.754,78.173,0.7618,-0.079,0.052,True,
กว่า,78.275,78.725,กว่า,78.516,78.699,0.4067,-0.241,0.026,True,
ไหน,78.759,79.325,ไหน,78.799,79.356,0.8811,-0.04,-0.031,True,
ดู,79.536,79.986,ดู,79.536,79.681,0.3222,0.0,0.305,True,
(ผายมือ),80.002,80.436,(ผายมือ),79.918,80.248,0.4749,0.084,0.188,True,
วิธี,80.486,80.936,วิธี,80.37,80.751,0.4682,0.116,0.185,True,
ทำ,80.986,81.402,ทำ,80.907,81.186,0.404,0.079,0.216,True,
อย่างไร,81.419,81.819,อย่างไร,81.286,81.583,0.3077,0.133,0.236,True,
(ผายมือ),81.886,82.369,(ผายมือ),81.653,82.236,0.4888,0.233,0.133,True,
เปรียบเทียบ,82.407,83.19,เปรียบเทียบ,82.374,83.332,0.8173,0.033,-0.142,True,
ตัวเลข,83.207,83.84,ตัวเลข,83.664,84.443,0.1424,-0.457,-0.603,True,
(มี+สอง),83.857,84.574,ตัวเลข,83.664,84.443,0.644,0.193,0.131,False,
(ชี้นิ้วชี้),84.59,85.307,(มี+สอง),84.502,85.003,0.513,0.088,0.304,False,
(ไล่จำนวนตัวเลข),85.424,85.857,(ไล่จำนวนตัวเลข),85.567,85.886,0.6277,-0.143,-0.029,True,
(น้อยไปหามาก),85.89,86.307,(น้อยไปหามาก),86.135,86.564,0.2552,-0.245,-0.257,True,
(น้อยไปหามาก),86.374,86.924,(น้อยไปหามาก),86.702,86.983,0.3645,-0.328,-0.059,True,
มี,86.99,87.724,ฝั่งซ้าย,87.441,87.776,0.3601,-0.451,-0.052,False,
ฝั่งซ้าย,87.757,88.457,ก่อน,87.933,88.485,0.7198,-0.176,-0.028,False,
ก่อน,88.49,88.657,,,,0.0,,,False,
ดู,89.614,90.014,ดู,89.598,89.758,0.3462,0.016,0.256,True,
สังเกต,90.031,90.331,สังเกต,89.791,90.304,0.5056,0.24,0.027,True,
ไหน,90.348,90.748,ไหน,90.428,90.675,0.6175,-0.08,0.073,True,
ตัวเลข,90.798,91.248,ตัวเลข,90.856,91.216,0.8,-0.058,0.032,True,
ฝั่งซ้าย,91.298,91.598,ฝั่งซ้าย,91.399,91.941,0.3095,-0.101,-0.343,True,
เห็น,91.614,92.064,ฝั่งซ้าย,91.399,91.941,0.4917,0.215,0.123,False,
ไหน,92.081,92.548,เห็น,92.0,92.34,0.4726,0.081,0.208,False,
สังเกต,92.598,93.148,สังเกต,92.634,93.126,0.8945,-0.036,0.022,True,
รถยนต์,93.214,93.714,รถยนต์,93.302,93.668,0.732,-0.088,0.046,True,
ที่,93.781,94.198,ที่,93.776,93.954,0.41,0.005,0.244,True,
หนึ่ง,94.214,94.531,(ชี้นิ้วชี้),94.412,94.508,0.3028,-0.198,0.023,False,
(ชี้นิ้วชี้),94.614,94.864,เก้า,94.863,97.013,0.0004,-0.249,-2.149,False,
เก้า,94.879,94.929,เก้า,94.863,97.013,0.0233,0.016,-2.084,True,
(วางสันมือที่นิ้วชี้),96.329,97.029,เก้า,94.863,97.013,0.3158,1.466,0.016,False,
แสน,97.079,97.496,(วางสันมือที่นิ้วชี้),97.103,97.567,0.8053,-0.024,-0.071,False,
เก้า,97.579,98.279,แสน,97.876,98.265,0.5557,-0.297,0.014,False,
แสน,98.379,98.763,เก้า,98.624,98.765,0.3601,-0.245,-0.002,False,
(ผายมือ),98.813,99.513,แสน,98.884,99.088,0.2914,-0.071,0.425,False,
ลำดับต่อมา,99.543,100.226,ลำดับต่อมา,99.51,100.013,0.6564,0.033,0.213,True,
ฝั่งซ้าย,100.31,101.043,ฝั่งซ้าย,100.314,100.802,0.6658,-0.004,0.241,True,
(ชี้ฝั่งซ้าย),101.076,101.743,(ชี้นิ้วกลาง),101.585,102.472,0.1132,-0.509,-0.729,False,
(ชี้นิ้วกลาง),101.76,102.593,(ชี้นิ้วกลาง),101.585,102.472,0.7063,0.175,0.121,True,
ตัวเลข,102.743,103.427,ตัวเลข,102.727,103.546,0.8352,0.016,-0.119,True,
หนึ่ง,103.477,103.793,หนึ่ง,103.644,104.902,0.1046,-0.167,-1.109,True,
เท่ากัน,103.81,104.593,หนึ่ง,103.644,104.902,0.6224,0.166,-0.309,False,
หนึ่ง,104.61,105.027,หนึ่ง,103.644,104.902,0.2111,0.966,0.125,True,
ล้าน,105.093,105.76,เท่ากัน,105.289,105.575,0.4288,-0.196,0.185,False,
ตรง,105.86,106.493,หนึ่ง,105.698,106.152,0.3673,0.162,0.341,False,
หนึ่ง,106.593,107.127,ล้าน,106.286,106.791,0.2354,0.307,0.336,False,
ล้าน,107.177,108.027,ล้าน,107.619,108.0,0.4482,-0.442,0.027,True,
อย่างไร,110.356,110.806,อย่างไร,110.34,110.76,0.867,0.016,0.046,True,
เก้า,110.89,111.54,เก้า,110.925,111.459,0.8215,-0.035,0.081,True,
แสน,111.606,112.156,แสน,111.619,112.08,0.8382,-0.013,0.076,True,
(ชี้แสน),112.19,112.74,(ชี้แสน),112.284,112.737,0.8236,-0.094,0.003,True,
น้อย,112.756,113.34,น้อย,112.892,113.188,0.5068,-0.136,0.152,True,
กว่า,113.356,113.79,กว่า,113.394,113.572,0.4101,-0.038,0.218,True,
หนึ่ง,113.806,114.206,ล้าน,113.871,114.33,0.6393,-0.065,-0.124,False,
ล้าน,114.223,114.54,ล้าน,113.871,114.33,0.1599,0.352,0.21,True,
(ชี้ที่ของ),114.582,114.849,(ชี้ที่ของ),114.549,114.771,0.63,0.033,0.078,True,
เก้า,114.899,115.282,เก้า,114.814,115.271,0.7949,0.085,0.011,True,
แสน,115.299,115.649,แสน,115.296,115.688,0.8929,0.003,-0.039,True,
หนึ่ง,115.699,116.115,หนึ่ง,115.706,116.126,0.9578,-0.007,-0.011,True,
ห้า,116.199,116.365,ห้า,116.191,116.389,0.8384,0.008,-0.024,True,
หมื่น,116.432,116.865,หมื่น,116.425,116.649,0.4932,0.007,0.216,True,
แปดพัน,116.915,117.449,แปดพัน,117.229,117.469,0.3971,-0.314,-0.02,True,
เจ็ดร้อย,117.465,118.099,เจ็ดร้อย,118.09,118.281,0.011,-0.625,-0.182,True,
ห้าสิบ,118.115,118.632,เจ็ดร้อย,118.09,118.281,0.3063,0.025,0.351,False,
ที่,118.715,118.799,ห้าสิบ,118.392,118.905,0.1637,0.323,-0.106,False,
น้อย,118.882,119.365,ที่,119.082,119.186,0.2153,-0.2,0.179,False,
กว่า,119.382,119.982,น้อย,119.412,119.871,0.765,-0.03,0.111,False,
หนึ่ง,120.015,120.549,หนึ่ง,120.291,120.567,0.4674,-0.276,-0.018,True,
ล้าน,120.565,120.849,ล้าน,120.668,120.82,0.5352,-0.103,0.029,True,
สามร้อย,120.865,121.365,สามร้อย,120.992,121.423,0.6685,-0.127,-0.058,True,
แปดสิบ,121.382,122.015,แปดสิบ,121.66,121.946,0.4518,-0.278,0.069,True,
ห้า,122.032,122.515,ห้า,122.064,122.399,0.6936,-0.032,0.116,True,
เปรียบเทียบ,124.268,125.235,เปรียบเทียบ,124.235,125.168,0.9,0.033,0.067,True,
เห็น,125.318,125.918,เห็น,125.531,125.974,0.5899,-0.213,-0.056,True,
เขียน,125.985,126.918,เขียน,126.222,126.954,0.7183,-0.237,-0.036,True,
(วาดสัญลักษณ์น้อยกว่า),126.968,127.968,(วาดสัญลักษณ์น้อยกว่า),127.106,128.003,0.8329,-0.138,-0.035,True,
สอง,128.152,128.352,สอง,128.119,128.541,0.4739,0.033,-0.189,True,
(วาดสัญลักษณ์น้อยกว่า),128.369,129.102,(วาดสัญลักษณ์น้อยกว่า),128.691,129.892,0.2699,-0.322,-0.79,True,
มี,129.219,129.919,(วาดสัญลักษณ์น้อยกว่า),128.691,129.892,0.548,0.528,0.027,False,
น้อย,129.969,130.652,มี,130.139,130.508,0.5403,-0.17,0.144,False,
กว่า,130.685,131.402,น้อย,130.701,131.116,0.5788,-0.016,0.286,False,
น้อย,131.419,132.135,น้อย,131.851,132.155,0.3859,-0.432,-0.02,True,
กว่า,132.152,132.835,กว่า,132.219,132.549,0.4832,-0.067,0.286,True,
ตัวเลข,132.882,133.449,ตัวเลข,132.849,133.456,0.9341,0.033,-0.007,True,
เก้า,133.499,133.632,,,,0.0,,,False,
แสน,133.699,134.315,เก้า,133.884,134.198,0.5097,-0.185,0.117,False,
ห้าหมื่น,134.382,134.749,แสน,134.423,134.644,0.6022,-0.041,0.105,False,
แปดพัน,134.782,135.432,ห้าหมื่น,134.75,135.278,0.7273,0.032,0.154,False,
เจ็ดร้อย,135.482,136.182,แปดพัน,135.309,136.149,0.764,0.173,0.033,False,
ห้าสิบ,136.199,136.799,เจ็ดร้อย,136.162,136.722,0.821,0.037,0.077,False,
(วาดสัญลักษณ์น้อยกว่า),136.815,137.515,ห้าสิบ,136.758,137.214,0.5271,0.057,0.301,False,
น้อย,137.782,138.449,(วาดสัญลักษณ์น้อยกว่า),137.441,138.479,0.6426,0.341,-0.03,False,
กว่า,138.515,139.149,น้อย,138.526,138.899,0.5883,-0.011,0.25,False,
หนึ่ง,139.165,139.782,หนึ่ง,139.17,139.753,0.9449,-0.005,0.029,True,
ล้าน,139.815,140.165,ล้าน,139.768,140.387,0.5654,0.047,-0.222,True,
สามร้อย,140.182,140.865,สามร้อย,140.399,141.021,0.5554,-0.217,-0.156,True,
แปดสิบ,140.899,141.249,แปดสิบ,141.036,141.534,0.3354,-0.137,-0.285,True,
ห้า,141.265,141.799,แปดสิบ,141.036,141.534,0.3526,0.229,0.265,False,
(ผายมือ),141.815,142.532,(ผายมือ),141.745,142.42,0.7687,0.07,0.112,True,
(ผายมือ),142.715,143.299,(ผายมือ),142.577,143.206,0.6801,0.138,0.093,True,
รถยนต์,143.955,144.222,รถยนต์,143.92,144.425,0.5287,0.035,-0.203,True,
สอง,144.255,144.505,รถยนต์,143.92,144.425,0.2906,0.335,0.08,False,
ไม่,144.572,144.938,สอง,144.456,144.706,0.278,0.116,0.232,False,
รถยนต์,144.955,145.555,รถยนต์,145.214,145.526,0.52,-0.259,0.029,True,
สอง,145.572,145.938,สอง,145.541,145.753,0.4559,0.031,0.185,True,
มี,145.972,146.338,เพิ่มเติม,145.943,146.358,0.8819,0.029,-0.02,False,
เพิ่มเติม,146.405,146.655,ใหม่,146.371,146.742,0.6739,0.034,-0.087,False,
ใหม่,146.672,146.938,(ผายมือ),146.773,147.054,0.4319,-0.101,-0.116,False,
(ผายมือ),146.972,147.205,(ผายมือ),146.773,147.054,0.1898,0.199,0.151,True,
ที่,147.211,147.911,หนึ่ง,147.539,147.992,0.4763,-0.328,-0.081,False,
หนึ่ง,147.927,148.394,มี,148.242,148.392,0.3212,-0.315,0.002,False,
มี,148.411,149.077,น้อย,148.629,149.394,0.4557,-0.218,-0.317,False,
น้อย,149.311,149.594,น้อย,148.629,149.394,0.086,0.682,0.2,True,
มี,149.621,150.238,ราคา,149.941,150.284,0.448,-0.32,-0.046,False,
ราคา,150.288,150.838,เท่าไร,150.407,150.66,0.46,-0.119,0.178,False,
เท่าไร,150.871,151.354,เก้า,150.887,151.289,0.8323,-0.016,0.065,False,
เก้า,151.404,151.738,แสน,151.497,151.698,0.6018,-0.093,0.04,False,
แสน,151.788,152.404,ห้าหมื่น,151.82,152.418,0.927,-0.032,-0.014,False,
ห้าหมื่น,152.421,152.904,แปดพัน,152.582,152.979,0.5771,-0.161,-0.075,False,
แปดพัน,152.954,153.338,เจ็ดร้อย,153.131,153.371,0.4964,-0.177,-0.033,False,
เจ็ดร้อย,153.388,153.921,ห้าสิบ,153.423,153.93,0.9188,-0.035,-0.009,False,
ห้าสิบ,154.004,154.571,,,,0.0,,,False,
(ชี้นิ้วกลาง),154.577,155.827,ที่สาม,155.229,155.838,0.4742,-0.652,-0.011,False,
ที่สาม,155.877,156.943,สวยงาม,156.229,157.023,0.623,-0.352,-0.08,False,
สวยงาม,156.96,158.143,สวยงาม,156.229,157.023,0.0329,0.731,1.12,True,
ราคา,158.181,158.414,ราคา,158.131,158.497,0.6366,0.05,-0.083,True,
เท่าไร,158.431,158.947,เท่าไร,158.559,158.956,0.739,-0.128,-0.009,True,
เก้า,159.097,159.714,เก้า,159.322,159.649,0.53,-0.225,0.065,True,
แสน,159.731,160.131,แสน,159.956,160.139,0.4289,-0.225,-0.008,True,
ห้า,160.181,160.531,ห้า,160.299,160.59,0.5672,-0.118,-0.059,True,
หมื่น,160.631,161.164,หมื่น,160.753,161.077,0.6079,-0.122,0.087,True,
ห้าพัน,161.231,161.847,ห้าพัน,161.224,161.959,0.8381,0.007,-0.112,True,
เจ็ดร้อย,161.864,162.397,เจ็ดร้อย,162.131,162.361,0.4315,-0.267,0.036,True,
เก้าสิบ,162.414,163.031,เก้าสิบ,162.655,163.072,0.5714,-0.241,-0.041,True,
เก้า,163.081,163.431,เก้า,163.108,163.461,0.85,-0.027,-0.03,True,
ลอง,164.631,165.031,ลอง,164.598,164.938,0.709,0.033,0.093,True,
เปรียบเทียบ,165.098,165.614,เปรียบเทียบ,165.09,165.521,0.8073,0.008,0.093,True,
(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.631,166.081,(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.796,166.68,0.2717,-0.165,-0.599,True,
มี,166.098,166.631,(ชี้นิ้วชี้สลับกับนิ้วกลางไปมา),165.796,166.68,0.6029,0.302,-0.049,False,
ประมาณ,166.648,167.048,มี,166.835,166.995,0.4,-0.187,0.053,False,
มี,167.081,167.631,ประมาณ,167.173,167.472,0.5436,-0.092,0.159,False,
ดู,167.664,168.281,ดู,167.987,168.345,0.4317,-0.323,-0.064,True,
วิธี,168.526,169.342,อย่างไร,168.951,169.332,0.4669,-0.425,0.01,False,
อย่างไร,169.492,170.042,มี,169.518,169.992,0.8618,-0.026,0.05,False,
มี,170.076,170.426,,,,0.0,,,False,
ตัวเลข,170.476,170.942,ตัวเลข,170.474,171.093,0.7528,0.002,-0.151,True,
ฝั่งซ้าย,170.959,171.626,ฝั่งซ้าย,171.296,171.642,0.4832,-0.337,-0.016,True,
ก่อน,171.659,172.342,ก่อน,171.838,172.33,0.7204,-0.179,0.012,True,
ใช่,172.359,173.026,ใช่,172.544,173.039,0.7088,-0.185,-0.013,True,
ตัวเลข,173.294,173.944,ตัวเลข,173.294,173.608,0.4831,0.0,0.336,True,
(ผายมือ),173.96,174.36,(ผายมือ),173.992,174.278,0.715,-0.032,0.082,True,
(ผายมือที่นิ้วชี้),174.51,175.31,(ผายมือที่นิ้วชี้),174.572,174.866,0.3675,-0.062,0.444,True,
สังเกต,175.327,175.927,ไหน,175.57,175.91,0.5667,-0.243,0.017,False,
ไหน,175.994,176.027,,,,0.0,,,False,
ตัวเลข,177.16,177.894,ตัวเลข,177.353,177.675,0.4387,-0.193,0.219,True,
เก้า,179.71,179.76,แสน,179.724,180.765,0.0341,-0.014,-1.005,False,
เก้า,179.827,180.36,แสน,179.724,180.765,0.512,0.103,-0.405,False,
แสน,180.81,181.227,เก้า,181.01,181.281,0.4607,-0.2,-0.054,False,
เก้า,181.294,181.51,,,,0.0,,,False,
(ชี้นิ้วกลาง),181.56,182.11,(ชี้นิ้วกลาง),181.51,182.098,0.8967,0.05,0.012,True,
เก้า,182.16,182.726,เก้า,182.271,182.67,0.7049,-0.111,0.056,True,
เหมือนกัน,182.793,183.16,เหมือนกัน,182.879,183.095,0.5886,-0.086,0.065,True,
เกี่ยวข้อง,183.21,183.643,เกี่ยวข้อง,183.446,183.686,0.4139,-0.236,-0.043,True,
หนึ่ง,183.726,183.926,,,,0.0,,,False,
เก้า,184.026,184.543,เก้า,184.265,184.407,0.2747,-0.239,0.136,True,
แสน,184.576,184.943,แสน,184.598,184.881,0.7711,-0.022,0.062,True,
เหมือนกัน,184.976,185.493,เหมือนกัน,185.116,185.5,0.7195,-0.14,-0.007,True,
(เก้าที่นิ้วชี้),185.51,185.943,(เก้าที่นิ้วชี้),185.825,185.91,0.1963,-0.315,0.033,True,
(เก้าที่นิ้วกลาง),185.96,186.526,(เก้าที่นิ้วกลาง),186.25,186.523,0.4823,-0.29,0.003,True,
(เก้าที่นิ้วชี้),186.543,186.943,(เก้าที่นิ้วชี้),186.817,186.951,0.3088,-0.274,-0.008,True,
(เก้าที่นิ้วกลาง),186.993,187.16,(เก้าที่นิ้วกลาง),187.108,187.206,0.2441,-0.115,-0.046,True,
(เก้าที่นิ้วชี้),187.193,187.626,(เก้าที่นิ้วชี้),187.348,187.608,0.6005,-0.155,0.018,True,
ตัวเลข,187.721,187.921,ตัวเลข,187.688,187.951,0.7605,0.033,-0.03,True,
ฝั่งซ้าย,187.971,188.604,ฝั่งซ้าย,188.227,188.621,0.58,-0.256,-0.017,True,
(เก้าที่นิ้วชี้),188.688,189.421,(เก้าที่นิ้วชี้),188.812,189.059,0.337,-0.124,0.362,True,
(แสนที่นิ้วกลาง),189.588,190.388,เท่ากัน,189.753,191.376,0.3551,-0.165,-0.988,False,
เท่ากัน,190.404,191.288,เท่ากัน,189.753,191.376,0.5447,0.651,-0.088,True,
แล้ว,191.555,192.239,แล้ว,191.539,192.113,0.7971,0.016,0.126,True,
(ผายมือที่นิ้วชี้),192.305,192.722,(ผายมือที่นิ้วชี้),192.448,192.711,0.6307,-0.143,0.011,True,
เปรียบเทียบ,192.789,193.672,เปรียบเทียบ,192.876,193.351,0.5379,-0.087,0.321,True,
ถัดมา,193.689,194.639,ถัดมา,193.634,194.727,0.8692,0.055,-0.088,True,
ถัดมา,195.191,195.725,ถัดมา,195.175,195.601,0.7455,0.016,0.124,True,
ที่,195.758,196.258,ที่,195.838,195.964,0.252,-0.08,0.294,True,
ที่,196.625,196.825,ที่,196.698,196.778,0.4,-0.073,0.047,True,
เก้า,196.908,197.408,เก้า,197.077,197.366,0.578,-0.169,0.042,True,
เก้า,197.425,197.725,เก้า,197.57,197.781,0.4354,-0.145,-0.056,True,
เก้า,197.775,198.041,เก้า,197.84,197.987,0.5526,-0.065,0.054,True,
เท่ากัน,198.108,198.625,เท่ากัน,198.075,198.513,0.7364,0.033,0.112,True,
ถัดมา,198.79,199.64,ถัดมา,198.74,199.472,0.7578,0.05,0.168,True,
ถัดมา,199.89,201.006,ถัดมา,199.899,200.871,0.871,-0.009,0.135,True,
ที่,201.472,202.022,ที่,201.472,201.624,0.2764,0.0,0.398,True,
หนึ่ง,202.122,203.105,ห้า,202.149,203.023,0.8891,-0.027,0.082,False,
ห้า,203.122,203.472,(ห้าที่นิ้วชี้),203.387,204.013,0.0954,-0.265,-0.541,False,
(ห้าที่นิ้วชี้),204.005,204.038,(ห้าที่นิ้วชี้),203.387,204.013,0.0123,0.618,0.025,True,
หมื่น,204.122,204.205,,,,0.0,,,False,
ห้า,204.322,204.338,หมื่น,204.32,205.031,0.0225,0.002,-0.693,False,
หมื่น,205.055,205.622,หมื่น,205.399,205.662,0.3674,-0.344,-0.04,True,
ลำดับถัดมา,205.857,206.557,ลำดับต่อมา,205.807,206.776,0.7224,0.05,-0.219,False,
ที่,206.573,207.24,ที่,206.964,207.095,0.1964,-0.391,0.145,True,
สอง,207.273,207.823,(ชี้นิ้วกลาง),207.405,207.851,0.7232,-0.132,-0.028,False,
(ชี้นิ้วกลาง),207.89,208.507,ห้า,208.209,208.845,0.312,-0.319,-0.338,False,
ห้า,208.523,209.123,ห้า,208.209,208.845,0.3523,0.314,0.278,True,
หมื่น,209.24,209.84,หมื่น,209.317,209.588,0.4517,-0.077,0.252,True,
เหมือนกัน,209.857,210.34,เหมือนกัน,209.781,210.747,0.5,0.076,-0.407,True,
เท่ากัน,210.707,211.307,เท่ากัน,210.951,211.361,0.5443,-0.244,-0.054,True,
ห้าหมื่น,211.373,212.023,ห้าหมื่น,211.477,211.923,0.6862,-0.104,0.1,True,
ห้าหมื่น,212.057,212.323,ห้าหมื่น,212.095,212.405,0.6552,-0.038,-0.082,True,
เท่ากัน,212.39,213.073,เท่ากัน,212.531,213.276,0.6117,-0.141,-0.203,True,
(วางจำนวนตัวเลขสองมือ),213.428,215.028,(วางจำนวนตัวเลขสองมือ),213.428,214.036,0.38,0.0,0.992,True,
เท่ากัน,216.444,216.578,,,,0.0,,,False,
ยัง,216.598,217.331,ยัง,216.598,217.121,0.7135,0.0,0.21,True,
เปรียบเทียบ,217.348,218.064,ยัง,217.686,218.126,0.4859,-0.338,-0.062,False,
ยัง,218.081,218.598,ยัง,217.686,218.126,0.0493,0.395,0.472,True,
ถัดมา,218.59,219.44,ถัดมา,218.59,220.178,0.5353,0.0,-0.738,True,
ถัดมา,219.506,219.79,ถัดมา,218.59,220.178,0.1788,0.916,-0.388,True,
ถัดมา,220.156,221.24,ถัดมา,220.374,221.183,0.7463,-0.218,0.057,True,
มี,221.706,222.256,ถัดมา,221.688,222.137,0.7588,0.018,0.119,False,
ไหน,222.306,223.206,ไหน,222.758,223.41,0.4058,-0.452,-0.204,True,
มี,223.528,224.044,มี,223.528,223.716,0.3643,0.0,0.328,True,
